key,sweep,controller,t,theta_deg,finger_normal_N,finger_tangential_N,table_normal_N,table_slip_mm,finger_slide_mm
size|force|78.00|0.00|0.800,size,force,0.8565,0.006464490288421208,9.977555512444177,2.6702614394112727,13.237203018093847,0.03529059727382118,0.31285391632718645
size|force|78.00|0.00|0.800,size,force,0.8605,0.006464914835402694,9.977555348510435,2.6702631193714867,13.237201304949846,0.03545667489584537,0.3143156959981141
size|force|78.00|0.00|0.800,size,force,0.8645,0.00646533947678675,9.977555184662297,2.670264798778174,13.2371995925552,0.03562276607125405,0.31577747732849304
size|force|78.00|0.00|0.800,size,force,0.8685,0.006465764260505252,9.977555020908898,2.6702664779880503,13.237197880329713,0.03578887064654203,0.31723926023965343
size|force|78.00|0.00|0.800,size,force,0.8725,0.006466189142012261,9.977554857237747,2.670268156641695,13.23719616885557,0.03595498856465704,0.31870104470353683
size|force|78.00|0.00|0.800,size,force,0.8765,0.006466614166122744,9.977554693665256,2.6702698350837375,13.237194457566325,0.03612111967287983,0.3201628306424516
size|force|78.00|0.00|0.800,size,force,0.8805,0.006467039291312239,9.977554530176501,2.670271512966911,13.237192747036005,0.03628726390958753,0.3216246180259772
size|force|78.00|0.00|0.800,size,force,0.8845,0.006467464559478022,9.977554366783458,2.6702731906234014,13.23719103669982,0.0364534211226724,0.32308640677729134
size|force|78.00|0.00|0.800,size,force,0.8885,0.006467889931919602,9.977554203473977,2.6702748677175476,13.237189327129926,0.03661959124602512,0.3245481968637188
size|force|78.00|0.00|0.800,size,force,0.8925,0.006468315447798152,9.977554040262675,2.6702765445707377,13.237187617768882,0.03678577412800982,0.32600998820920807
size|force|78.00|0.00|0.800,size,force,0.8965,0.006468741071063985,9.977553877136792,2.670278220857653,13.237185909182077,0.03695196969817727,0.3274717807789252
size|force|78.00|0.00|0.800,size,force,0.9005,0.006469166838315144,9.977553714106582,2.670279896889247,13.237184200815246,0.03711817780521007,0.32893357449749533
size|force|78.00|0.00|0.800,size,force,0.9045,0.006463450837020761,9.977559941837702,2.6702252511923494,13.23719636144421,0.037283186889660654,0.33039556853788155
size|force|78.00|0.00|0.800,size,force,0.9085,0.006468237834765157,9.977550717237037,2.6703025681992067,13.237134186682836,0.03744911617578469,0.33185670389311966
size|force|78.00|0.00|0.800,size,force,0.9125,0.006470024850219488,9.977552348681026,2.6702908635411573,13.237165351678303,0.037615337550977304,0.3333182160734882
size|force|78.00|0.00|0.800,size,force,0.9165,0.0064757202803128475,9.977495057049621,2.6708107760834667,13.236249361930092,0.037781465373794405,0.33478050964903844
